config,custom_avg_time_ms,custom_min_time_ms,custom_max_time_ms,custom_avg_mem_mb,custom_min_mem_mb,custom_max_mem_mb,torch_avg_time_ms,torch_min_time_ms,torch_max_time_ms,torch_avg_mem_mb,torch_min_mem_mb,torch_max_mem_mb,output_allclose,max_abs_diff,mean_abs_diff,mse
B1_InC3_InH128W128_OutC64_K7x7_P3x3_S1x1_BiasFalse,0.21764159798622132,0.20457600057125092,0.26214399933815,11.4236328125,4.2236328125,12.2236328125,0.06483199968934059,0.04403200000524521,0.11264000087976456,15.55400390625,8.35400390625,16.35400390625,True,,,
B1_InC3_InH256W256_OutC64_K7x7_P3x3_S1x1_BiasFalse,0.7686111986637115,0.6921280026435852,0.8868799805641174,45.5861328125,16.7861328125,48.7861328125,0.14937600120902061,0.11059200018644333,0.18636800348758698,61.99775390625,33.19775390625,65.19775390625,True,,,
B1_InC3_InH512W512_OutC32_K7x7_P3x3_S1x1_BiasFalse,1.55375679731369,1.2513279914855957,3.0115840435028076,92.61806640625,35.01806640625,99.01806640625,0.2825888007879257,0.26009601354599,0.30585598945617676,124.6361328125,67.0361328125,131.0361328125,True,,,
B1_InC3_InH1024W1024_OutC32_K7x7_P3x3_S1x1_BiasFalse,5.132371139526367,4.764671802520752,6.512639999389648,370.41806640625,140.01806640625,396.01806640625,1.0776991963386535,1.0045440196990967,1.2421120405197144,498.4361328125,268.0361328125,524.0361328125,True,,,
B1_InC3_InH128W128_OutC32_K9x9_P4x4_S1x1_BiasFalse,0.16369920074939728,0.15593600273132324,0.17612800002098083,5.81728515625,2.21728515625,6.21728515625,0.07159679941833019,0.058111999183893204,0.09932799637317657,7.8470703125,4.2470703125,8.2470703125,True,,,
B1_InC3_InH256W256_OutC32_K9x9_P4x4_S1x1_BiasFalse,0.555455994606018,0.5171840190887451,0.5813440084457397,23.17978515625,8.77978515625,24.77978515625,0.14663040190935134,0.11161600053310394,0.19654400646686554,31.2095703125,16.8095703125,32.8095703125,True,,,
B1_InC3_InH512W512_OutC32_K9x9_P4x4_S1x1_BiasFalse,2.266588807106018,1.9281920194625854,3.6904959678649902,92.62978515625,35.02978515625,99.02978515625,0.42468480169773104,0.4055039882659912,0.4575999975204468,124.6595703125,67.0595703125,131.0595703125,True,,,
B1_InC3_InH1024W1024_OutC32_K9x9_P4x4_S1x1_BiasFalse,8.03533115386963,7.549248218536377,9.368927955627441,370.42978515625,140.02978515625,396.02978515625,1.66353919506073,1.5902719497680664,1.9875839948654175,498.4595703125,268.0595703125,524.0595703125,True,,,
B1_InC3_InH128W128_OutC64_K1x1_P0x0_S1x1_BiasTrue,0.098089599609375,0.08374399691820145,0.12185599654912949,11.38896484375,4.18896484375,12.18896484375,0.08138239979743958,0.06143999844789505,0.11564800143241882,15.3904296875,8.1904296875,16.1904296875,True,,,
B1_InC3_InH256W256_OutC64_K1x1_P0x0_S1x1_BiasTrue,0.223887999355793,0.155008003115654,0.37465599179267883,45.55146484375,16.75146484375,48.75146484375,0.14717120081186294,0.1300159990787506,0.1770240068435669,62.55439453125,33.75439453125,65.75439453125,False,0.008084297180175781,0.000370369351003319,3.3668345622572815e-07
B1_InC3_InH512W512_OutC64_K1x1_P0x0_S1x1_BiasTrue,0.674262410402298,0.6073600053787231,0.9799680113792419,182.20146484375,67.00146484375,195.00146484375,0.4763456016778946,0.45875200629234314,0.48947200179100037,247.70341796875,132.50341796875,260.50341796875,True,,,
B1_InC3_InH1024W1024_OutC32_K1x1_P0x0_S1x1_BiasTrue,1.439859187602997,1.2112959623336792,2.5407040119171143,370.4009765625,140.0009765625,396.0009765625,1.2624288082122803,1.082368016242981,2.7555840015411377,498.401953125,268.001953125,524.001953125,True,,,
B1_InC3_InH128W128_OutC64_K3x3_P1x1_S1x1_BiasTrue,0.10956479907035828,0.09625600278377533,0.13583999872207642,11.39482421875,4.19482421875,12.19482421875,0.0701728006824851,0.02131200022995472,0.21196800470352173,15.49638671875,8.29638671875,16.29638671875,True,,,
B1_InC3_InH256W256_OutC64_K3x3_P1x1_S1x1_BiasTrue,0.2781984001398087,0.22937600314617157,0.34908801317214966,45.55732421875,16.75732421875,48.75732421875,0.08915840014815331,0.07577600330114365,0.12080000340938568,61.94013671875,33.14013671875,65.14013671875,True,,,
B1_InC3_InH512W512_OutC64_K3x3_P1x1_S1x1_BiasTrue,0.922572809457779,0.8559679985046387,1.1018240451812744,182.20732421875,67.00732421875,195.00732421875,0.4809343993663788,0.4638719856739044,0.5263360142707825,247.71513671875,132.51513671875,260.51513671875,True,,,
B1_InC3_InH1024W1024_OutC32_K3x3_P1x1_S1x1_BiasTrue,1.9073887705802917,1.7018879652023315,3.464063882827759,370.40390625,140.00390625,396.00390625,1.3283679962158204,1.1223039627075195,2.9603519439697266,498.4078125,268.0078125,524.0078125,True,,,
B1_InC3_InH128W128_OutC64_K5x5_P2x2_S1x1_BiasTrue,0.14967040121555328,0.14054399728775024,0.16896000504493713,11.40654296875,4.20654296875,12.20654296875,0.05367360040545464,0.04479999840259552,0.08825600147247314,15.51982421875,8.31982421875,16.31982421875,True,,,
B1_InC3_InH256W256_OutC64_K5x5_P2x2_S1x1_BiasTrue,0.39053440392017363,0.3840000033378601,0.3984319865703583,45.56904296875,16.76904296875,48.76904296875,0.11113279983401299,0.08191999793052673,0.12777599692344666,61.96357421875,33.16357421875,65.16357421875,True,,,
B1_InC3_InH512W512_OutC64_K5x5_P2x2_S1x1_BiasTrue,1.7583039999008179,1.5440000295639038,2.8989439010620117,182.21904296875,67.01904296875,195.01904296875,0.5435263991355896,0.5190399885177612,0.5720639824867249,247.73857421875,132.53857421875,260.53857421875,True,,,
B1_InC3_InH1024W1024_OutC32_K5x5_P2x2_S1x1_BiasTrue,3.5433536052703856,3.1047680377960205,4.944896221160889,370.409765625,140.009765625,396.009765625,1.5394528031349182,1.1960320472717285,2.9451839923858643,498.41953125,268.01953125,524.01953125,True,,,
B1_InC3_InH128W128_OutC64_K7x7_P3x3_S1x1_BiasTrue,0.23247359842061996,0.21315200626850128,0.26844799518585205,11.42412109375,4.22412109375,12.22412109375,0.10044480003416538,0.06143999844789505,0.18636800348758698,15.55498046875,8.35498046875,16.35498046875,True,,,
B1_InC3_InH256W256_OutC64_K7x7_P3x3_S1x1_BiasTrue,0.8693248093128204,0.66975998878479,2.5118720531463623,45.58662109375,16.78662109375,48.78662109375,0.1512255996465683,0.12492799758911133,0.19247999787330627,61.99873046875,33.19873046875,65.19873046875,True,,,
B1_InC3_InH512W512_OutC32_K7x7_P3x3_S1x1_BiasTrue,1.5456671953201293,1.3158400058746338,3.250943899154663,92.6185546875,35.0185546875,99.0185546875,0.3276928037405014,0.317440003156662,0.34880000352859497,124.637109375,67.037109375,131.037109375,True,,,
B1_InC3_InH1024W1024_OutC32_K7x7_P3x3_S1x1_BiasTrue,5.866742372512817,5.425151824951172,7.127391815185547,370.4185546875,140.0185546875,396.0185546875,1.5961087942123413,1.5605759620666504,1.632256031036377,498.437109375,268.037109375,524.037109375,True,,,
B1_InC3_InH128W128_OutC32_K9x9_P4x4_S1x1_BiasTrue,0.22556800097227098,0.18636800348758698,0.2839680016040802,5.8177734375,2.2177734375,6.2177734375,0.07038080021739006,0.04403200000524521,0.12800000607967377,7.848046875,4.248046875,8.248046875,True,,,
B1_InC3_InH256W256_OutC32_K9x9_P4x4_S1x1_BiasTrue,0.7605792045593261,0.5591040253639221,1.9322880506515503,23.1802734375,8.7802734375,24.7802734375,0.17253440096974373,0.11673600226640701,0.28467199206352234,31.210546875,16.810546875,32.810546875,True,,,
B1_InC3_InH512W512_OutC32_K9x9_P4x4_S1x1_BiasTrue,2.4672544240951537,2.0364480018615723,3.8811841011047363,92.6302734375,35.0302734375,99.0302734375,0.4800127983093262,0.4607999920845032,0.5425599813461304,124.660546875,67.060546875,131.060546875,True,,,
B1_InC3_InH1024W1024_OutC32_K9x9_P4x4_S1x1_BiasTrue,8.734086322784425,8.229696273803711,11.423423767089844,370.4302734375,140.0302734375,396.0302734375,2.1954463720321655,2.1474881172180176,2.267967939376831,498.460546875,268.060546875,524.060546875,True,,,
